NAME,MASS,MASS_SINI,SEMI_MAJOR_AXIS,ORBITAL_PERIOD,ECCENTRICITY,OMEGA,TIME_PERIAPSE,PLANETARY_RADIUS,INCLINATION,DETECTION_TYPE,STAR_MASS,STAR_AGE,STAR_TEMP,STAR_RADIUS,STAR_METALLICITY
91 Aqr b,3.2,3.2,0.7,181.4,0.027000000000000003,177.3,2453472.1,,,Radial Velocity,1.4,3.56,4665.0,11.0,0.03
AB Pic b,13.5,,275.0,,,,,,,Imaging,,0.03,4875.0,,0.64
AD 3116 b,54.2,,,1.982796,0.146,5.0,,1.02,88.4,Primary Transit,0.276,,3200.0,0.29,
AD Leo b,0.0727,0.0727,0.025,2.2259900000000004,0.03,,,,,Radial Velocity,,,,,
AS 205 A b,19.25,19.25,0.162,24.84,0.35,94.14,,,,Radial Velocity,0.9,,4300.0,3.7,0.0
BD+03 2562 b,6.4,6.4,1.3,481.9,0.2,218.0,2453726.0,,,Radial Velocity,1.14,5.25,4095.0,32.35,0.71
BD+14 4559 b,1.47,1.47,0.777,268.94,0.29,87.64,2453294.21,,,Radial Velocity,0.86,,5008.0,,0.1
BD+15 2375 b,1.06,1.06,0.5760000000000001,153.22,0.001,55.0,2457680.0,,,Radial Velocity,1.08,7.4,4649.0,8.95,0.22
BD+15 2940 b,1.11,1.11,0.539,137.48,0.26,302.0,2453464.0,,,Radial Velocity,1.1,7.1,4796.0,14.7,0.28
BD+20 2457 b,21.42,21.42,1.45,379.63,0.15,207.64,2454677.53,,,Radial Velocity,2.8,,4127.0,,1.0
BD+20 2457 c,12.47,12.47,2.01,621.99,0.18,126.02,2453867.45,,,Radial Velocity,2.8,,4127.0,,1.0
BD+20 274 c,4.2,4.2,1.3,578.2,,,2453920.5,,,Radial Velocity,0.8,,4296.0,17.3,0.46
BD+20 594 b,0.0513,0.0513,0.24100000000000002,41.6855,0.0,,,0.19899999999999998,89.55,Primary Transit,0.961,3.34,5766.0,0.9279999999999999,0.15
BD+24 4697 b,53.0,53.0,0.5,145.08100000000002,0.50048,66.35,2455986.042,,,Radial Velocity,0.75,,5077.0,,0.11
BD+26 1888 b,26.0,26.0,1.19,536.78,0.2675,1.3,2456548.3,,,Radial Velocity,0.76,,4748.0,,0.02
BD+48 738 b,0.91,0.91,1.0,392.6,0.2,358.9,2454457.2,,,Radial Velocity,0.74,,4414.0,11.0,0.2
BD+49 828 b,1.6,1.6,4.2,2590.0,0.35,170.0,2455470.0,,,Radial Velocity,1.52,2.3,4943.0,7.6,0.19
BD-06 1339 b,0.027000000000000003,0.027000000000000003,0.0428,3.8728,0.08,,2455220.5,,,Radial Velocity,0.7,4.4,4324.0,,0.14
BD-06 1339 c,0.17,0.17,0.435,125.26,0.11,,2455264.2,,,Radial Velocity,0.7,4.4,4324.0,,0.14
BD-06 1339 d,0.0582,0.0582,1.06,487.0,0.02,275.0,,,,Radial Velocity,0.7,4.4,4324.0,,0.14
BD-08 2823 b,0.045,0.045,0.055999999999999994,5.6,0.15,30.0,2454637.7,,,Radial Velocity,0.74,4.5,4746.0,,0.07
BD-08 2823 c,0.33,0.33,0.68,237.6,0.19,127.0,2454193.0,,,Radial Velocity,0.74,4.5,4746.0,,0.07
BD-10 3166 b,0.46,0.46,0.046,3.4878,0.0104,345.4,2451844.7,1.03,,Radial Velocity,0.99,4.18,5400.0,1.71,0.5
BD-11 4672 b,0.53,0.53,2.28,1667.0,0.05,,2455899.0,,,Radial Velocity,0.5710000000000001,4.4,4475.0,0.52,0.48
BD-17 63 b,5.1,5.1,1.34,655.6,0.54,112.2,2454627.1,,,Radial Velocity,0.74,4.3,4714.0,0.69,0.03
Barnard's  b,0.010159999999999999,0.010159999999999999,,232.8,0.32,107.0,,,,Radial Velocity,0.163,8.5,3278.0,0.17800000000000002,
CD-35 2722 b,31.0,,67.0,,,,,,,Imaging,0.4,0.1,3680.0,,0.04
CFBDS 1458 A,24.1,,,,,,,,,Imaging,,,,,
CFBDS0059,22.5,,,,,,,,,Imaging,,,,,
CFBDSIR J2149-0403 b,21.0,,,,,,,,,Imaging,,,,,
CHXR 73 b,12.0,,200.0,,,,,,,Imaging,0.35,0.002,,,
CI Tau b,11.6,,,8.9891,0.25,31.5,,,50.5,Radial Velocity,0.9,0.002,,,
CT Cha b,17.0,,440.0,,,,,2.2,,Imaging,,0.002,,,
CVSO 30 b ,,,,,,,,,,,,,,,
CWISEP J1935-1546,8.5,,,,,,,,,Imaging,,,,,
Cha Ha 8 b,25.0,25.0,1.02,1895.0,0.59,106.0,2453163.0,,,Radial Velocity,0.085,0.003,2967.0,,
CoRoT-1 b,1.03,,0.0254,1.5089556999999998,0.0,,,1.49,83.96,Primary Transit,0.95,,6298.0,1.11,0.06
CoRoT-10 b,2.75,,0.1055,13.2406,0.53,218.9,2454990.85,0.97,88.55,Primary Transit,0.89,3.0,5075.0,0.79,0.26
CoRoT-11 b,2.33,,0.04351,2.994325,0.0,,,1.43,81.41,Primary Transit,1.27,2.0,6343.0,1.36,0.04
CoRoT-12 b,0.917,,0.04016,2.828042,0.07,105.0,,1.44,85.48,Primary Transit,1.078,6.3,5675.0,1.1159999999999999,0.16
CoRoT-13 b,1.308,,0.051,4.03519,0.0,,,0.885,88.02,Primary Transit,1.09,1.64,5945.0,1.01,0.01
CoRoT-14 b,7.6,,0.027000000000000003,1.51214,0.0,,2454787.67,1.09,79.6,Primary Transit,1.13,4.2,6035.0,1.21,0.05
CoRoT-15 b,63.4,63.3,0.045,3.0603599999999997,0.0,,,1.12,86.7,Primary Transit,,,,,
CoRoT-16 b,0.535,,0.0618,5.35227,0.33,168.41,,1.17,85.01,Primary Transit,1.0979999999999999,6.73,5650.0,1.19,0.19
CoRoT-17 b,2.43,,0.0461,3.768125,0.0,,,1.02,88.34,Primary Transit,1.04,10.7,5740.0,1.59,0.0
CoRoT-18 b,3.47,,0.0295,1.9000693,0.08,,,1.31,86.5,Primary Transit,0.95,,5440.0,1.0,0.1
CoRoT-19 b,1.11,,0.0518,3.89713,0.047,86.0,,1.29,87.61,Primary Transit,1.21,5.0,6090.0,1.65,0.02
CoRoT-2 b,3.31,,0.0281,1.7429964,0.0,,,1.465,87.84,Primary Transit,0.97,,5575.0,0.902,0.04
CoRoT-20 b,4.24,,0.0902,9.24285,0.562,56.3,,0.84,88.21,Primary Transit,1.14,0.1,5880.0,0.92,0.14
CoRoT-21 b,2.26,,0.0417,2.72474,0.0,,,1.3,86.8,Primary Transit,1.29,4.1,6200.0,1.945,0.0
CoRoT-22 b,0.06,,0.092,9.755980000000001,0.077,210.0,,0.4354,89.749,Primary Transit,1.099,3.3,5939.0,1.136,0.17
CoRoT-23 b,2.8,,0.0477,3.6314,0.16,51.8,,1.08,85.7,Primary Transit,1.14,7.2,5900.0,1.61,0.05
CoRoT-24 b,0.018000000000000002,,0.055999999999999994,5.1134,0.0,,,0.33,86.5,Primary Transit,0.91,11.0,4950.0,0.86,0.3
CoRoT-24 c,0.08800000000000001,,0.098,11.759,0.0,,,0.44,89.0,Primary Transit,0.91,11.0,4950.0,0.86,0.3
CoRoT-25 b,0.27,,0.0578,4.86069,,,,1.08,84.5,Primary Transit,1.09,5.2,6040.0,1.19,0.01
CoRoT-26 b,0.52,,0.0526,4.20474,0.0,,,1.26,86.8,Primary Transit,1.09,8.6,5590.0,1.79,0.01
CoRoT-27 b,10.39,,0.0476,3.5753199999999996,0.065,,,1.0070000000000001,86.7,Primary Transit,1.05,4.21,5900.0,1.08,0.1
CoRoT-28 b,0.484,0.484,0.059000000000000004,5.2085099999999995,0.047,126.0,,0.955,,Primary Transit,1.01,12.0,5150.0,1.78,0.15
CoRoT-29 b,0.85,0.85,0.039,2.8505700000000003,0.08199999999999999,87.0,,0.9,87.3,Primary Transit,0.976,4.5,5260.0,0.9,0.2
CoRoT-3 b,21.66,,0.057,4.2567994,0.0,,,1.19,85.9,Primary Transit,1.41,2.0,6558.0,1.44,0.14
CoRoT-30 b,2.9,,0.0844,9.06005,0.006999999999999999,178.1,,1.0090000000000001,90.0,Primary Transit,0.98,3.0,5660.0,0.91,0.02
CoRoT-31 b,0.84,,0.0586,4.62941,0.02,303.6,,1.46,83.2,Primary Transit,1.25,4.7,5370.0,2.15,0.0
CoRoT-32 b,0.15,,0.071,6.718369999999999,,,,0.57,89.0,Primary Transit,1.09,,5970.0,0.79,0.0
CoRoT-33 b,59.2,59.0,0.0579,5.819143,0.07,179.3,,1.1,85.5,Primary Transit,0.86,4.6,5225.0,0.94,0.44
CoRoT-4 b,0.72,,0.09,9.20205,0.0,,,1.19,90.0,Primary Transit,1.1,1.0,6190.0,1.15,0.05
CoRoT-5 b,0.467,,0.04947,4.0378962,0.09,231.7,,1.33,85.83,Primary Transit,1.0,6.9,6100.0,1.186,0.25
CoRoT-6 b,2.96,,0.0855,8.886593,0.1,8.9,2454595.614,1.166,89.07,Primary Transit,1.055,,6090.0,1.025,0.2
CoRoT-7 b,0.0149,,0.0172,0.853585,0.12,,,0.136,80.1,Primary Transit,0.93,1.5,5313.0,0.87,0.03
CoRoT-7 c,0.042660000000000003,0.0264,0.046,3.698,0.12,,2454445.0,,,Radial Velocity,0.93,1.5,5313.0,0.87,0.03
CoRoT-8 b,0.2158,,0.063,6.21229,0.0,,,0.5692,88.4,Primary Transit,0.88,3.0,5080.0,0.77,0.3
CoRoT-9 b,0.84,,0.40700000000000003,95.273804,0.133,37.0,,0.94,89.9,Primary Transit,0.99,4.0,5625.0,0.94,0.01
Corot-20 c,17.0,17.0,2.9,1675.0,0.6,65.0,2454136.0,,,Radial Velocity,1.14,0.1,5880.0,0.92,0.14
DE CVn b,11.0,11.0,5.75,4098.1,,,,,,TTV,,,,,
DE0823-49 b,31.5,,0.36,247.75,0.36,41.8,,,52.2,Imaging,0.045,0.1,2150.0,,
DH Tau b,11.0,,330.0,,,,,,,Imaging,0.37,0.001,,,
DP Leo (AB) b,6.05,,8.19,10230.0,0.39,282.0,,,,Timing,0.69,,,,
DS Tuc A b,0.08800000000000001,,0.0795,8.138268,,,,0.5085,89.5,Primary Transit,0.9590000000000001,0.04,5597.0,0.872,0.08
DW Lyn b,5.58,5.58,1.148,,,,,,,Radial Velocity,,,,,
DW Uma b,10.06,10.06,5.8,4967.0,,,,,,Radial Velocity,,,,,
EPIC  211945201 b,0.085,,0.14800000000000002,19.49213,0.0,,,0.546,87.9,Primary Transit,1.18,3.99,6025.0,1.38,0.1
EPIC 201128338 b,,,0.1735,32.6527,,,,0.251,,Primary Transit,0.654,,3940.0,0.631,0.09
EPIC 201295312 b,0.0379,0.0378,,5.65639,0.12,,,0.245,86.6,Primary Transit,1.13,,5830.0,1.52,0.13
EPIC 201598502 b,,,0.601,7.51554,,,,0.17800000000000002,,Primary Transit,0.512,,3720.0,0.495,0.26
EPIC 203826436 b,,,,4.44117,,,,0.14400000000000002,,Primary Transit,0.9,,5413.0,0.85,0.03
EPIC 203826436 c,,,,6.4290400000000005,,,,0.245,,Primary Transit,0.9,,5413.0,0.85,0.03
EPIC 203826436 d,,,,14.09189,,,,0.244,,Primary Transit,0.9,,5413.0,0.85,0.03
EPIC 204221263 b,,,,4.01593,,,,0.138,,Primary Transit,1.07,,5757.0,1.1,0.28
EPIC 204221263 c,,,,10.56103,,,,0.21600000000000003,,Primary Transit,1.07,,5757.0,1.1,0.28
EPIC 205084841 b,0.3883,,0.10400000000000001,11.310099000000001,,,,1.561,87.99,Primary Transit,1.168,,6245.0,1.3130000000000002,0.019
EPIC 206011691 b,,,0.0731,9.32414,,,,0.142,88.3,Primary Transit,0.64,,4043.0,0.6,0.11
EPIC 206011691 c,,,0.1026,15.5012,,,,0.171,89.08,Primary Transit,0.64,,4043.0,0.6,0.11
EPIC 206061524 b,,,0.0563,5.8797,,,,0.978,86.2,Primary Transit,,,,,
EPIC 210490365 b,,,,3.484552,0.27,62.1,,0.306,88.32,Primary Transit,0.294,,3180.0,0.295,0.15
EPIC 210894022 b,0.027000000000000003,,0.0621,5.35117,,,,0.17,86.2,Radial Velocity,0.89,10.77,5730.0,1.23,0.53
EPIC 211331236 b,,,0.0188,1.291563,,,,0.18100000000000002,,Primary Transit,0.532,,3676.0,0.513,0.22
EPIC 211331236 c,,,0.0491,5.44425,,,,0.17300000000000001,,Primary Transit,0.532,,3676.0,0.513,0.22
EPIC 211391664 b,0.10099999999999999,,0.0943,10.13675,,,,0.38,89.0,Primary Transit,1.074,5.2,6120.0,1.311,0.2
EPIC 211418729 b,1.85,,0.09308999999999999,11.39109,0.0,,,0.9420000000000001,89.53,Primary Transit,0.8320000000000001,9.9,5027.0,0.828,0.41
EPIC 211442297 b,0.84,,0.1367,20.273034,0.13699999999999998,104.0,,1.115,88.82,Primary Transit,0.831,10.7,5560.0,0.8809999999999999,0.22
EPIC 211822797 b,,,,21.169619,0.18,,,0.2,89.5,Primary Transit,0.61,0.8,3880.0,0.59,
EPIC 211913977 b,,,,14.677285999999999,0.1,,,0.18,89.4,Primary Transit,0.8,0.8,4819.0,0.73,
EPIC 211924657 b,,,0.0266,2.644646,,,,0.2,,Primary Transit,0.358,,3385.0,0.35,0.02
EPIC 211969807 b,,,,1.9741900000000001,0.18,,,0.17,88.0,Primary Transit,0.51,0.8,3660.0,0.48,
EPIC 211970147 b,,,,9.915614999999999,0.1,,,0.12,89.0,Primary Transit,0.77,0.8,4695.0,0.71,
EPIC 212006344 b,,,0.0288,2.219315,,,,0.109,,Primary Transit,0.644,,3903.0,0.612,0.37
EPIC 212036875 b,47.8,,0.0621,5.169884,0.1325,162.4,2458130.538,0.8190000000000001,84.11,Primary Transit,1.1241,4.6,6231.0,1.4,0.23
EPIC 212069861 b,,,0.1641,30.9542,,,,0.237,,Primary Transit,0.615,,3880.0,0.5920000000000001,0.02
EPIC 212737443 b,0.02907,,0.098,13.603,,,,0.23071,89.07,Primary Transit,0.69,,4684.0,0.6729999999999999,0.13699999999999998
EPIC 212737443 c,0.0303,,0.28,65.55,,,,0.24,89.63,Primary Transit,0.69,,4684.0,0.6729999999999999,0.13699999999999998
EPIC 213715787 b,,,0.0159,0.961917,,,,0.12300000000000001,,Primary Transit,0.583,,3672.0,0.5539999999999999,0.179
EPIC 219388192 b,36.0,,0.0593,5.292569,0.1893,346.0,2457339.826,0.846,89.63,Primary Transit,0.99,3.9,5850.0,1.01,0.03
EPIC 220194974 b,,,0.0454,4.38395,,,,0.11900000000000001,,Primary Transit,0.65,,4079.0,0.632,0.11
EPIC 220194974 c,,,0.0616,6.9226,,,,0.154,,Primary Transit,0.65,,4079.0,0.632,0.11
EPIC 220194974 d,,,0.0774,9.7579,,,,0.146,,Primary Transit,0.65,,4079.0,0.632,0.11
EPIC 220501947 b,0.336,,0.0467,4.024866,,,,0.9470000000000001,89.24,Primary Transit,,,4444.0,0.71,0.14
EPIC 220504338 b,1.28,,0.0575,5.817712,0.0,,,0.91,86.44,Primary Transit,1.0070000000000001,5.9,5627.0,1.047,0.18
EPIC 220522664 b,,,0.083,11.332,,,,0.146,,Primary Transit,0.595,,3745.0,0.568,0.11
EPIC 220598331 b,,,0.0727,10.59357,,,,0.17800000000000002,,Primary Transit,0.457,,3499.0,0.436,0.09
EPIC 220621087 b,,,0.0365,3.8355919999999997,,,,0.12,,Primary Transit,0.44,,3585.0,0.429,0.32
EPIC 228754001 b,0.495,,0.0916,9.1708,0.29,82.6,,1.089,77.56,Primary Transit,1.19,5.5,4878.0,4.11,0.11
EPIC 228934525 b,,,0.0408,3.67635,,,,0.19899999999999998,,Primary Transit,0.672,,3978.0,0.649,0.19
EPIC 228934525 c,,,0.0683,7.95478,,,,0.187,,Primary Transit,0.672,,3978.0,0.649,0.19
EPIC 246851721 b,5.74,5.73,0.07239,6.180242,,,,1.004,86.03,Primary Transit,1.324,3.09,6189.0,1.624,0.139
EPIC 247267267 b,,,0.04771,4.79507,0.0,,,0.2471,89.04,Primary Transit,0.63,0.12,4140.0,0.607,0.0
EPIC 248435473 b,,,0.012830000000000001,0.658525,,,,0.259,76.48,Radial Velocity,0.67,8.4,4184.0,0.649,0.064
EPIC 248435473 c,,,0.06674,7.814,0.040999999999999995,20.0,,0.05683,88.58,Radial Velocity,0.67,8.4,4184.0,0.649,0.064
EPIC 248435473 d,,,0.1017,14.69699,0.043,304.0,,0.23588,89.73,Radial Velocity,0.67,8.4,4184.0,0.649,0.064
EPIC 248435473 e,,,0.1227,19.482,0.032,350.0,,0.21821999999999997,89.74,Radial Velocity,0.67,8.4,4184.0,0.649,0.064
EPIC 248545986 b,0.0044,,0.0441,5.24,,,,0.098,88.89,Primary Transit,0.4,,3420.0,0.36,0.1
EPIC 248545986 c,0.0028,,0.0576,7.775,,,,0.08900000000000001,88.77,Primary Transit,0.4,,3420.0,0.36,0.1
EPIC 248545986 d,0.0041,,0.0685,10.115,,,,0.098,89.43,Primary Transit,0.4,,3420.0,0.36,0.1
EPIC 249622103 b,,,0.03317,2.46746,,,,0.12472000000000001,88.79,Primary Transit,0.8,,4950.0,0.745,0.07
EPIC 249622103 c,,,0.06687,,,,,0.1191,88.95,Primary Transit,0.8,,4950.0,0.745,0.07
EPIC 249622103 d,,,0.1527,24.3662,,,,0.2355,89.35,Primary Transit,0.8,,4950.0,0.745,0.07
EPIC 249801827 b,0.0157,,0.0513,6.034,,,,0.17800000000000002,89.26,Primary Transit,0.58,,3810.0,0.54,0.1
EPIC 249801827 c,0.0145,,0.1159,20.523000000000003,,,,0.161,89.66,Primary Transit,0.58,,3810.0,0.54,0.1
EPIC 249889081 b,0.0214,,0.1768,27.359,,,,0.187,89.67,Primary Transit,0.64,,3926.0,0.62,0.0
FL Lyr b,9.0,9.0,,4400.0,,,,,,Timing,2.2,,,,
FU Tau b,15.0,,800.0,,,,,,,Imaging,0.05,0.001,2838.0,,
FW Tau b,10.0,,330.0,,,,,,,Imaging,0.26,0.0018,3270.0,,
Fomalhaut b,3.0,,115.0,320000.0,0.11,,,,,Imaging,1.92,0.44,8590.0,1.8419999999999999,
G 196-3 b,15.0,,,,,,,,,Imaging,0.4,,3400.0,,
G204-39 b,29.0,,2685.0,,,,,,,Imaging,0.36,1.0,,,
GJ 1132 b,0.005220000000000001,,0.0154,1.628931,0.0,,,0.1035,,Primary Transit,0.18100000000000002,5.0,3270.0,0.207,0.12
GJ 1132 c,0.00831,0.00831,0.0476,8.929,0.27,,,,,Radial Velocity,0.18100000000000002,5.0,3270.0,0.207,0.12
GJ 1214 b,0.020325331000000002,,0.01411,1.58040482,0.27,,,0.23820187,88.17,Primary Transit,0.15,6.0,3026.0,0.21600000000000003,0.39
GJ 1265 b,0.0233,0.0233,0.026000000000000002,3.6511,0.04,282.0,,,,Radial Velocity,0.17800000000000002,,3236.0,0.192,0.04
GJ 143 b,0.0714,,0.1932,35.61253,0.188,98.0,,0.2329,89.33,Primary Transit,0.76,3.8,4640.0,0.73,0.003
GJ 15A b,0.00953,0.00953,0.07200000000000001,11.4407,0.094,60.0,2456995.86,,,Radial Velocity,0.375,,3567.0,0.3863,0.32
GJ 160.2 b,0.0245,0.0245,0.079,9.7471,0.02,355.23,,,,Radial Velocity,0.69,,4347.0,,
GJ 163 b,0.0311,0.0311,0.06,8.6312,0.02,74.73,,,,Radial Velocity,0.4,3.0,,,
GJ 163 c,0.0239,0.0239,0.124,25.636999999999997,0.03,235.4,,,,Radial Velocity,0.4,3.0,,,
GJ 163 d,0.0636,0.0636,1.021,604.0,0.02,126.915,,,,Radial Velocity,0.4,3.0,,,
GJ 163 e,0.0428,0.0428,0.7,349.0,0.03,,,,,Radial Velocity,0.4,3.0,,,
GJ 163 f,0.0214,0.0214,0.326,109.5,0.04,,,,,Radial Velocity,0.4,3.0,,,
GJ 176 b,0.025,0.025,0.066,8.7748,0.08,,,,,Radial Velocity,0.49,,,0.53,0.1
GJ 176 c,0.0233,0.0233,0.146,28.586,0.02,,,,,Radial Velocity,0.49,,,0.53,0.1
GJ 179 b,0.7391,0.7391,2.41,2288.0,0.21,153.0,2455140.0,,,Radial Velocity,0.35700000000000004,,3370.0,0.38,0.3
GJ 179 c,0.0154,0.0154,0.032,3.4798,0.04,,,,,Radial Velocity,0.35700000000000004,,3370.0,0.38,0.3
